id,forward_sortation_area,name_of_dog,breed,color,ward_number,ward_name,bite_circumstance,location_of_incident,date_of_dangerous_act,year_month
1,M6R,CHLOE,BEAGLE MIX,TAN / WHITE,4,Parkdale-High Park,VERY SEVERE,PUBLIC PROPERTY,2017-03-09,2017-03-01
2,M3M,OSO,AKITA,WHITE / BLACK,6,York Centre,SEVERE,PARK - LEASH REQUIRED AREA,2017-03-11,2017-03-01
3,M4N,HOBBES,CANE CORSO / LABRADOR RETR,BR BRINDLE,15,Don Valley West,SEVERE,OWNERS PROPERTY,2017-03-18,2017-03-01
4,M9W,HUNTER,GOLDEN RETR,GOLD,1,Etobicoke North,SEVERE,OTHER PRIVATE PROPERTY,2017-03-23,2017-03-01
5,M1E,LILA,GERM SHEPHERD / AUST SHEPHERD,BLACK / TAN,25,Scarborough-Rouge Park,NON SEVERE,PARK - LEASH FREE AREA,2017-03-29,2017-03-01
6,M6L,RUGER,GERM SHEPHERD,BLACK / RED,5,York South-Weston,SEVERE,OTHER PRIVATE PROPERTY,2017-04-13,2017-04-01
7,M3H,BRODY,ALASKAN HUSKY MIX,GREY / WHITE,6,York Centre,NON SEVERE,PARK - LEASH FREE AREA,2017-04-16,2017-04-01
8,M6R,TANGO,AUST SHEPHERD,RED MERLE,4,Parkdale-High Park,NON SEVERE,PUBLIC PROPERTY,2017-04-19,2017-04-01
9,M1B,LEO,ROTTWEILER / BORDER COLLIE,BLACK / BROWN,23,Scarborough North,NON SEVERE,PARK - LEASH REQUIRED AREA,2017-04-26,2017-04-01
10,M6G,BUSTER,POODLE STND / COCKER SPAN,BLACK / WHITE,12,Toronto-St. Paul's,SEVERE,OWNERS PROPERTY,2017-06-01,2017-06-01
11,M1H,ENTEI,ROTTWEILER / GERM SHEPHERD,TRICOLOUR / TAN,24,Scarborough-Guildwood,SEVERE,OWNERS PROPERTY,2017-06-03,2017-06-01
12,M2R,SEVEN,JINDO,WHITE,18,Willowdale,NON SEVERE,OTHER PRIVATE PROPERTY,2017-06-21,2017-06-01
13,M6K,BRANDY,AM PIT BULL TER,WHITE / TAN,4,Parkdale-High Park,SEVERE,OTHER PRIVATE PROPERTY,2017-06-24,2017-06-01
14,M1W,TIGER,BOXER / AMER BULLDOG,BROWN / WHITE,22,Scarborough-Agincourt,SEVERE,PARK - LEASH REQUIRED AREA,2017-06-25,2017-06-01
15,M1B,LEO,GERM SHEPHERD,BLACK / TAN,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2017-06-28,2017-06-01
16,M4K,NEMO,SIBERIAN HUSKY,WHITE / GREY,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2017-08-02,2017-08-01
17,M1L,TUCKER,DOBERMAN PINSCH / AUST SHEPHERD,BROWN / WHITE,20,Scarborough Southwest,NON SEVERE,OTHER PRIVATE PROPERTY,2017-08-14,2017-08-01
18,M9L,DIESEL,CANE CORSO,BL BRINDLE,7,Humber River-Black Creek,NON SEVERE,OWNERS PROPERTY,2017-08-30,2017-08-01
19,M4E,SOSA,STAFFORDSHIRE MIX,TAN,19,Beaches-East York,VERY SEVERE,PUBLIC PROPERTY,2017-09-08,2017-09-01
20,M9A,ROCKY,GERM SHEPHERD MIX,BLACK / TAN,2,Etobicoke Centre,NON SEVERE,OWNERS PROPERTY,2017-09-29,2017-09-01
21,M4J,MAX,GERM SHEPHERD,SABLE,14,Toronto-Danforth,NON SEVERE,PARK - LEASH FREE AREA,2017-10-02,2017-10-01
22,M4L,LUCY,BOXER MIX,BLACK / TAN,19,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,2017-10-24,2017-10-01
23,M6N,MYA,ROTTWEILER,BLACK / TAN,5,York South-Weston,SEVERE,PUBLIC PROPERTY,2017-10-24,2017-10-01
24,M2N,ROSIE,ROTTWEILER,BLACK / TAN,18,Willowdale,SEVERE,OWNERS PROPERTY,2017-11-04,2017-11-01
26,M6N,CHINA,LABRADOR RETR / CHINESE SHARPEI,TAN / WHITE,9,Davenport,SEVERE,PARK - LEASH FREE AREA,2018-02-11,2018-02-01
27,M4S,RONIN,ROTTWEILER,BLACK / TAN,12,Toronto-St. Paul's,NON SEVERE,OTHER PRIVATE PROPERTY,2018-02-25,2018-02-01
28,M6M,DUCHESS,ROTTWEILER / STAFFORDSHIRE,BROWN / BLACK,5,York South-Weston,SEVERE,OTHER PRIVATE PROPERTY,2018-03-24,2018-03-01
29,M1P,MOOKI,AKBASH / GERM SHEPHERD,TAN,21,Scarborough Centre,SEVERE,OTHER PRIVATE PROPERTY,2018-04-08,2018-04-01
30,M1N,MAVIS,LABRADOR RETR / BORDER COLLIE,TRICOLOUR,20,Scarborough Southwest,SEVERE,PARK - LEASH FREE AREA,2018-04-18,2018-04-01
31,M1L,TITAN,LABRADOR RETR / AMER BULLDOG,CHOCOLATE / WHITE,20,Scarborough Southwest,SEVERE,PARK - LEASH REQUIRED AREA,2018-04-21,2018-04-01
32,M8Y,GEORGE,GOLDEN RETR / POODLE STND,CREAM / WHITE,3,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2018-05-23,2018-05-01
33,M6M,ROCKY,BICHON FRISE / POODLE MIN,WHITE,5,York South-Weston,NON SEVERE,OWNERS PROPERTY,2018-05-24,2018-05-01
34,M1E,ROMULUS,RHOD RIDGEBACK / GERM SHEPHERD,TAN,24,Scarborough-Guildwood,VERY SEVERE,OTHER PRIVATE PROPERTY,2018-06-02,2018-06-01
35,M6A,BEAU,LABRADOR RETR,BLACK,8,Eglinton-Lawrence,VERY SEVERE,OTHER PRIVATE PROPERTY,2018-07-09,2018-07-01
36,M6E,THEODORE,PUG / BOSTON TERRIER,BLACK / WHITE,9,Davenport,NON SEVERE,OWNERS PROPERTY,2018-07-23,2018-07-01
37,M1W,SADIE,BOXER / GERM SHEPHERD,TAN,22,Scarborough-Agincourt,SEVERE,PUBLIC PROPERTY,2018-08-03,2018-08-01
38,M1W,TORY,SHIH TZU,WHITE / GREY,22,Scarborough-Agincourt,NON SEVERE,OTHER PRIVATE PROPERTY,2018-08-14,2018-08-01
39,M6A,PRINCE,LABRADOR RETR,BLACK,8,Eglinton-Lawrence,NON SEVERE,OWNERS PROPERTY,2018-08-15,2018-08-01
40,M4B,TITAN,GERM SHEPHERD,BLACK / TAN,19,Beaches-East York,SEVERE,OTHER PRIVATE PROPERTY,2018-08-31,2018-08-01
41,M2J,JAXSON,SIBERIAN HUSKY / GERM SHEPHERD,TAN / BLACK,17,Don Valley North,NOT A BITE,OTHER PRIVATE PROPERTY,2018-09-17,2018-09-01
42,M4K,AIDEN,SC WHEAT TERR,WHITE,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2018-09-23,2018-09-01
43,M8Y,DUTCH,MASTIFF / CANE CORSO,GREY / WHITE,3,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2018-10-29,2018-10-01
44,M6M,TROUBLE,LABRADOR RETR,BLACK,5,York South-Weston,SEVERE,PUBLIC PROPERTY,2018-11-02,2018-11-01
45,M9N,PONGO,MIN PINSCHER MIX,BLACK / TAN,5,York South-Weston,SEVERE,PUBLIC PROPERTY,2018-11-04,2018-11-01
46,M4Y,ILA,BOXER / BULL TERRIER,FAWN,13,Toronto Centre,SEVERE,OTHER PRIVATE PROPERTY,2018-11-25,2018-11-01
47,M9W,HUNTER,GERM SHEPHERD,BROWN / BLACK,1,Etobicoke North,SEVERE,PUBLIC PROPERTY,2019-01-18,2019-01-01
48,M4H,BABE,LABRADOR RETR MIX,BLACK,15,Don Valley West,NOT A BITE,PUBLIC PROPERTY,2019-01-18,2019-01-01
49,M4K,BRUNO,ROTTWEILER / GERM SHEPHERD,BLACK / TAN,14,Toronto-Danforth,SEVERE,OWNERS PROPERTY,2019-01-29,2019-01-01
50,M4J,ELIE,GERM SHEPHERD,BROWN / BLACK,14,Toronto-Danforth,SEVERE,OWNERS PROPERTY,2019-02-10,2019-02-01
51,M5N,TUX,TERRIER MIX,BLACK / WHITE,8,Eglinton-Lawrence,NON SEVERE,PUBLIC PROPERTY,2019-03-15,2019-03-01
52,M2N,RILEY,DOBERMAN PINSCH,BLACK / TAN,18,Willowdale,SEVERE,PUBLIC PROPERTY,2019-03-24,2019-03-01
53,M3A,BELLA,AMER BULLDOG MIX,BROWN,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2019-03-31,2019-03-01
54,M8Y,TONY,AMER BULLDOG,WHITE / BLACK,3,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2019-04-01,2019-04-01
55,M8V,BARKLEY,BORDER COLLIE / GOLDEN RETR,BLACK / WHITE,3,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2019-04-22,2019-04-01
56,M9P,MILO,YORKSHIRE TERR / POODLE MIN,GOLD,1,Etobicoke North,NON SEVERE,OTHER PRIVATE PROPERTY,2019-04-24,2019-04-01
57,M6H,MR. BROWN,BOXER / LABRADOR RETR,BROWN / WHITE,9,Davenport,NON SEVERE,PUBLIC PROPERTY,2019-05-08,2019-05-01
58,M4M,BELLA,AUST CATTLE DOG / LABRADOR RETR,GREY / BLACK,14,Toronto-Danforth,SEVERE,OTHER PRIVATE PROPERTY,2019-05-14,2019-05-01
59,M2H,RONIN,GERM SHEPHERD,BLACK / RED,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2019-05-18,2019-05-01
60,M1K,SCOOBY,MASTIFF MIX,BROWN / WHITE,20,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,2019-06-07,2019-06-01
61,M4Y,BO,GERM SHEPHERD,BEIGE / BLACK,13,Toronto Centre,SEVERE,PUBLIC PROPERTY,2019-06-11,2019-06-01
62,M1H,ODIE,PARSON RUSS TER,WHITE / BROWN,24,Scarborough-Guildwood,NON SEVERE,OWNERS PROPERTY,2019-06-15,2019-06-01
63,M3L,REX,GERM SHEPHERD MIX,BLACK / TAN,6,York Centre,SEVERE,PUBLIC PROPERTY,2019-06-18,2019-06-01
64,M1B,CHARLI THASA,GERM SHEPHERD / LABRADOR RETR,BROWN / BLACK,25,Scarborough-Rouge Park,SEVERE,OTHER PRIVATE PROPERTY,2019-06-22,2019-06-01
65,M6K,TUCKER,ENG COONHOUND,RED,4,Parkdale-High Park,SEVERE,OWNERS PROPERTY,2019-06-27,2019-06-01
66,M5B,CLYDE,AMER BULLDOG / MASTIFF,BR BRINDLE / WHITE,13,Toronto Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2019-07-01,2019-07-01
67,M4A,CHARLIE,GERM SHEPHERD,BLACK / TAN,19,Beaches-East York,NON SEVERE,PUBLIC PROPERTY,2019-07-17,2019-07-01
68,M1M,CHESTER,BULLMASTIFF,BROWN,20,Scarborough Southwest,SEVERE,OWNERS PROPERTY,2019-07-18,2019-07-01
69,M3H,KANE,MASTIFF,FAWN / BLUE,6,York Centre,NON SEVERE,PUBLIC PROPERTY,2019-07-30,2019-07-01
70,M1E,ZION,MASTIFF,BROWN,25,Scarborough-Rouge Park,VERY SEVERE,OTHER PRIVATE PROPERTY,2019-08-03,2019-08-01
71,M1E,SHATTER,SIBERIAN HUSKY,BLACK / WHITE,25,Scarborough-Rouge Park,VERY SEVERE,OTHER PRIVATE PROPERTY,2019-08-03,2019-08-01
72,M3B,JOSIE,COCKER SPAN,BLACK,15,Don Valley West,VERY SEVERE,PUBLIC PROPERTY,2019-09-23,2019-09-01
73,M1S,ZHAZHA,GERM SHEPHERD,BLACK / YELLOW,23,Scarborough North,NOT A BITE,OWNERS PROPERTY,2019-10-10,2019-10-01
74,M4N,SELA,WEIMARANER,GREY,15,Don Valley West,NON SEVERE,PARK - LEASH REQUIRED AREA,2019-10-21,2019-10-01
75,M3C,MYSTIC,AMER BULLDOG / BULLMASTIFF,CHOCOLATE,16,Don Valley East,SEVERE,OTHER PRIVATE PROPERTY,2019-10-22,2019-10-01
76,M1J,DIESEL,ROTTWEILER / BOXER,BROWN / WHITE,20,Scarborough Southwest,VERY SEVERE,OWNERS PROPERTY,2019-11-22,2019-11-01
77,M2R,BAMBI,AMER BULLDOG,WHITE / BR BRINDLE,18,Willowdale,SEVERE,PUBLIC PROPERTY,2019-11-27,2019-11-01
78,M4L,GUARDIAN,ROTTWEILER,BLACK,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2019-12-23,2019-12-01
79,M1K,AURORA,BORDER COLLIE MIX,WHITE / BLACK,21,Scarborough Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2020-02-06,2020-02-01
80,M2M,BEAR,GERM SHEPHERD MIX,BLACK / TAN,18,Willowdale,SEVERE,PUBLIC PROPERTY,2020-02-21,2020-02-01
81,M1E,DESIL,CANE CORSO / ROTTWEILER,BR BRINDLE,24,Scarborough-Guildwood,SEVERE,OTHER PRIVATE PROPERTY,2020-03-04,2020-03-01
82,M2N,FLASH,RHOD RIDGEBACK / BOXER,BR BRINDLE,18,Willowdale,NON SEVERE,OTHER PRIVATE PROPERTY,2020-03-12,2020-03-01
83,M1M,JAX,AMER BULLDOG,WHITE / BROWN,20,Scarborough Southwest,NON SEVERE,PUBLIC PROPERTY,2020-04-05,2020-04-01
84,M1W,KING,DOGO ARGENTINO,WHITE,22,Scarborough-Agincourt,SEVERE,PUBLIC PROPERTY,2020-05-03,2020-05-01
85,M8V,XENA,LABRADOR RETR / GERM SHEPHERD,BEIGE,3,Etobicoke-Lakeshore,SEVERE,PARK - LEASH REQUIRED AREA,2020-06-09,2020-06-01
86,M4L,HARLEY,BEAGLE,TAN / WHITE,19,Beaches-East York,NON SEVERE,PUBLIC PROPERTY,2020-06-11,2020-06-01
87,M1P,NEVAH,BOXER,TAN,21,Scarborough Centre,SEVERE,PUBLIC PROPERTY,2020-06-11,2020-06-01
88,M5P,CECIL,FRENCH BULLDOG,BLACK,12,Toronto-St. Paul's,SEVERE,PARK - LEASH REQUIRED AREA,2020-06-14,2020-06-01
89,M9R,CHARLIE,AMER BULLDOG / ROTTWEILER,BROWN,1,Etobicoke North,SEVERE,PARK - LEASH REQUIRED AREA,2020-06-18,2020-06-01
90,M1T,HENNY,LABRADOR RETR / AMER BULLDOG,BROWN / TAN,22,Scarborough-Agincourt,NON SEVERE,OTHER PRIVATE PROPERTY,2020-06-20,2020-06-01
91,M1W,LEXY,BELG MALINOIS,BROWN / BLACK,22,Scarborough-Agincourt,SEVERE,PARK - LEASH REQUIRED AREA,2020-07-20,2020-07-01
92,M4C,DEXTOR,BELG MALINOIS,BROWN,19,Beaches-East York,NON SEVERE,OWNERS PROPERTY,2020-07-23,2020-07-01
93,M4V,PICASSO,COTON DE TULEAR,WHITE,12,Toronto-St. Paul's,NON SEVERE,OTHER PRIVATE PROPERTY,2020-07-28,2020-07-01
94,M6M,CRONUS,MASTIFF / CANE CORSO,SABLE / BROWN,5,York South-Weston,SEVERE,OWNERS PROPERTY,2020-08-01,2020-08-01
95,M6K,ZIGGY,HOUND,BLACK / BROWN,4,Parkdale-High Park,SEVERE,OTHER PRIVATE PROPERTY,2020-08-14,2020-08-01
96,M2J,ROCCO,ALASKAN HUSKY,RED / WHITE,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2020-08-31,2020-08-01
97,M2J,LUNA,SIBERIAN HUSKY,WHITE / BLACK,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2020-08-31,2020-08-01
98,M4K,RABBIT,LABRADOR RETR / AMER BULLDOG,WHITE / TAN,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2020-09-03,2020-09-01
99,M1K,MEEKA,AKITA,TAN / WHITE,21,Scarborough Centre,SEVERE,PUBLIC PROPERTY,2020-09-08,2020-09-01
100,M4C,COCO,AMER BULLDOG,WHITE / BROWN,19,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,2020-09-13,2020-09-01
101,M4J,ROCKY,BELG MALINOIS,BROWN,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2020-09-21,2020-09-01
102,M4V,NETWORK,GERM SHEPHERD,BLACK / TAN,12,Toronto-St. Paul's,NON SEVERE,OWNERS PROPERTY,2020-09-23,2020-09-01
103,M5A,BODHI,AMER BULLDOG MIX,BROWN / WHITE,13,Toronto Centre,SEVERE,PARK - LEASH FREE AREA,2020-10-20,2020-10-01
104,M5A,INDY,ALASKAN HUSKY / GERM SHEPHERD,BLACK / WHITE,13,Toronto Centre,SEVERE,PUBLIC PROPERTY,2020-11-09,2020-11-01
105,M4E,SERA,GERM SHEPHERD / AMER BULLDOG,BR BRINDLE / WHITE,19,Beaches-East York,SEVERE,PUBLIC PROPERTY,2020-11-10,2020-11-01
106,M1K,ZEUS,MASTIFF / DOGO ARGENTINO,BL BRINDLE / WHITE,20,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,2020-11-15,2020-11-01
107,M2J,MAJOR,AMER BULLDOG / ROTTWEILER,TAN,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2020-12-19,2020-12-01
108,M1V,LION,GERM SHEPHERD,BLACK / TAN,22,Scarborough-Agincourt,NON SEVERE,PUBLIC PROPERTY,2021-01-24,2021-01-01
109,M9R,SASHA,AKITA,WHITE / TAN,1,Etobicoke North,SEVERE,PARK - LEASH REQUIRED AREA,2021-01-26,2021-01-01
110,M8Z,SEVEN,CANE CORSO / AMER BULLDOG,FAWN,3,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2021-02-11,2021-02-01
111,M3H,DASH,GERM SHEPHERD MIX,BLACK / BROWN,6,York Centre,NON SEVERE,PUBLIC PROPERTY,2021-02-21,2021-02-01
112,M9A,ZEUS,AMER BULLDOG MIX,BLACK / WHITE,2,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2021-03-05,2021-03-01
113,M9B,KAI,MASTIFF,RED,2,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2021-03-18,2021-03-01
114,M4J,XENA,AMER BULLDOG,BLACK,14,Toronto-Danforth,SEVERE,OTHER PRIVATE PROPERTY,2021-04-08,2021-04-01
115,M4J,LULU,AMER BULLDOG,BROWN / WHITE,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2021-05-04,2021-05-01
116,M6N,ZATAR,DOGO ARGENTINO,WHITE,5,York South-Weston,NON SEVERE,OTHER PRIVATE PROPERTY,2021-05-09,2021-05-01
117,M6N,HABIBA,DOGO ARGENTINO,WHITE,5,York South-Weston,NON SEVERE,OTHER PRIVATE PROPERTY,2021-05-09,2021-05-01
118,M3A,PEPPER,BOXER,BR BRINDLE / WHITE,16,Don Valley East,NOT A BITE,PUBLIC PROPERTY,2021-05-11,2021-05-01
119,M6A,GREYDEE,COCKER SPAN,BLUE TICK,8,Eglinton-Lawrence,NOT A BITE,OTHER PRIVATE PROPERTY,2021-05-17,2021-05-01
